keys,es,en
TIP_STABLE,Mové el dron con suavidad: la estabilidad de la imagen pesa en la nota.,Move the drone smoothly: a steady image weighs in the grade.
TIP_STREAK,Una toma S necesita tres segundos seguidos de buen encuadre.,An S clip needs three seconds in a row of good framing.
TIP_TABLET,Abrí la tablet para ver el mapa y cuándo pasa el auto cerca tuyo.,Open the tablet to see the map and when the car passes near you.
TIP_THIRDS,El productor premia el auto centrado o sobre un punto de los tercios.,The producer rewards the car centred or on a rule of thirds point.
TITLE_PRESS,Pulsá,Press
TITLE_TAGLINE,Filmá el rally desde el aire,Film the rally from the air
TITLE_TO_START,para empezar,to start
UI_BACK,Volver,Back
UI_CANCEL,Cancelar,Cancel
UI_CONFIRM,Confirmar,Confirm
UI_HINT_ACCEPT,Aceptar,Select
UI_HINT_ADJUST,Ajustar,Adjust
UI_HINT_BACK,Volver,Back
UI_HINT_NAVIGATE,Navegar,Navigate
UI_HINT_SECTION,Sección,Section
UI_KEY_DPAD,Cruceta,D-pad
UI_NO_CONTROLLER,Sin mando conectado,No controller connected
UI_NO_CONTROLLER_WEB,Presioná un botón del mando para activarlo,Press a button on your controller to activate it
UI_OFF,Desactivado,Off
UI_OK,Aceptar,OK
UI_ON,Activado,On
